2,1,3,1,0,2,1,1,3,4,2,2,3532.00,4,883.00,2,1,5,9.37,0,2
2,1,1,1,1,1,1,2,1,4,2,2,1000.00,3,333.33,2,1,5,9.76,4,2
1,1,1,1,1,1,1,1,3,4,2,2,640.00,2,320.00,2,1,5,9.77,0,2
2,1,1,1,1,1,1,1,3,1,2,2,2890.00,3,963.33,2,2,1,9.31,0,1
1,1,1,1,1,1,1,1,3,1,2,2,2000.00,4,500.00,2,1,5,9.64,0,1
1,1,3,1,1,2,1,1,2,2,2,2,3677.00,4,919.25,2,1,5,9.35,0,1
1,1,3,1,1,1,1,1,1,4,2,2,1994.00,3,664.67,2,1,5,9.53,0,2
1,1,3,1,1,1,1,1,3,4,2,2,1757.00,3,585.67,2,2,5,9.58,0,2
1,1,3,1,3,1,1,2,3,4,2,2,998.00,1,998.00,2,1,5,9.29,0,2
1,1,3,1,1,1,1,1,3,4,2,2,1575.00,2,787.50,2,1,5,9.44,0,2
1,1,3,1,1,1,1,4,3,4,2,2,2833.00,6,472.17,2,2,5,9.66,0,2
2,1,3,1,1,1,1,4,3,4,2,2,1514.00,4,378.50,2,1,5,9.73,0,2
2,1,3,1,1,1,1,1,3,4,2,2,1467.00,3,489.00,2,1,5,9.65,0,2
1,1,3,1,1,1,1,1,3,4,2,2,1703.00,3,567.67,2,1,5,9.60,0,2
2,1,1,1,1,1,1,3,3,1,2,2,3332.00,4,833.00,2,2,5,9.41,2,1
2,1,1,1,1,1,1,3,3,1,2,2,3332.00,4,833.00,2,2,5,9.41,2,1
2,1,3,1,4,1,1,2,3,4,2,2,3200.00,2,1600.00,2,1,5,8.86,2,2
2,1,3,1,1,1,1,2,3,4,2,2,1643.00,3,547.67,2,1,5,9.61,4,2
1,1,1,1,1,1,1,1,3,4,2,2,1100.00,2,550.00,2,1,5,9.61,4,2
1,1,3,1,1,1,1,1,1,4,2,2,1908.00,3,636.00,2,1,5,9.55,6,2
2,1,3,1,1,1,1,1,3,4,2,2,1152.00,4,288.00,2,1,5,9.80,4,2
1,1,3,1,1,1,1,1,3,4,2,2,1359.00,2,679.50,2,1,5,9.52,2,1
1,1,3,1,2,1,1,1,3,4,2,2,1543.00,4,385.75,2,1,5,9.73,2,2
2,1,3,1,1,2,1,1,3,1,2,2,2100.00,3,700.00,2,1,5,9.50,4,2
2,1,3,1,1,1,1,4,3,4,2,2,2198.00,2,1099.00,2,1,5,9.22,0,2
2,1,3,1,1,1,1,1,3,4,2,2,2921.00,4,730.25,2,1,5,9.48,0,2
2,1,3,1,4,2,1,4,3,4,2,2,1030.00,3,343.33,2,1,5,9.76,0,2
1,1,3,1,1,1,1,0,3,4,2,2,1652.00,4,413.00,2,1,1,9.71,0,2
2,1,3,1,1,1,1,1,3,4,2,2,998.00,2,499.00,2,1,5,9.64,0,2
2,1,1,1,1,1,1,2,3,4,2,2,500.00,2,250.00,2,1,1,9.82,0,2
2,1,3,1,1,1,1,1,3,4,2,2,1582.00,4,395.50,2,2,5,9.72,0,1
1,1,1,1,4,2,1,1,1,4,2,2,2743.00,3,914.33,2,1,5,9.35,0,2
2,1,3,1,1,1,1,4,3,4,2,2,3417.00,5,683.40,2,2,5,9.51,0,2
1,1,3,1,1,2,1,1,2,4,2,2,2271.00,4,567.75,2,1,5,9.60,0,2
1,1,3,1,1,1,1,1,3,4,2,2,3379.00,4,844.75,2,2,5,9.40,0,2
2,1,3,1,1,1,1,4,3,4,2,2,1000.00,3,333.33,2,1,5,9.76,0,2
1,1,3,1,1,2,2,1,3,4,2,2,3254.00,5,650.80,2,1,5,9.54,0,2
2,1,3,1,1,1,3,4,3,4,2,2,1209.00,5,241.80,2,2,5,9.83,0,2
2,1,3,1,1,2,2,1,3,4,2,2,1861.00,4,465.25,2,1,5,9.67,0,2
1,1,3,1,1,1,1,2,3,4,2,2,954.00,2,477.00,2,1,5,9.66,5,2
1,1,3,1,1,1,1,1,3,4,2,2,954.00,3,318.00,2,1,5,9.77,5,2
1,1,3,1,1,1,1,2,3,4,2,2,1000.00,3,333.33,1,1,5,9.76,4,2
2,1,3,1,1,1,1,1,3,1,2,2,1360.00,4,340.00,2,1,1,9.76,5,2
1,1,1,1,1,1,1,1,3,4,2,2,954.00,2,477.00,2,1,5,9.66,4,2
2,1,3,1,1,1,1,1,3,4,2,2,954.00,2,477.00,1,1,5,9.66,5,2
2,1,1,1,2,1,1,2,1,4,2,2,2240.00,3,746.67,1,1,5,9.47,4,2
1,1,3,1,1,1,1,4,3,4,2,2,1576.00,3,525.33,2,1,5,9.63,5,2
1,1,1,1,1,1,1,1,3,4,2,2,1340.00,3,446.67,2,1,5,9.68,4,2
2,1,3,1,1,2,1,0,3,4,2,2,1624.00,4,406.00,2,2,5,9.71,4,2
1,1,1,1,1,1,1,1,3,4,2,2,1908.00,4,477.00,2,1,5,9.66,5,2
1,1,3,1,1,2,1,2,3,4,2,2,1000.00,3,333.33,1,1,5,9.76,5,2
